# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-25 18:05:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|1,052|52|129 serious/critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200126_2015048.shtml
Guangdong|78|0|15 serious, 4 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879063.html
Zhejiang|62|0|7 serious|https://www.zjwjw.gov.cn/art/2020/1/24/art_1202101_41855167.html
Chongqing|57|0|8 serious, 1 critical|http://wsjkw.cq.gov.cn/tzgg/20200124/249772.html
Hunan|43|0|15 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202001/t20200124_11164133.html
Anhui|39|0|All stable|http://www.bjnews.com.cn/news/2020/01/24/678777.html
Beijing|51|0|1 serious|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200126_1621349.html
Shanghai|33|0|2 critical|http://wsjkw.sh.gov.cn/xwfb/20200125/24e3e922d42b4046ad6e3caf7f163543.html
Henan|32|0|5 serious|http://www.bjnews.com.cn/news/2020/01/24/678758.html
Sichuan|28|0|2 critical|https://m.weibo.cn/status/4464188178943555
Shandong|27|0||https://m.weibo.cn/status/4464611044792417
Guangxi|33|0||http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0125/67994.html
Jiangxi|36|0|6 serious|http://hc.jiangxi.gov.cn/doc/2020/01/26/137668.shtml
Fujian|18|0|3 serious, 1 critical|https://m.weibo.cn/status/4464639817651324
Jiangsu|18|0|Stable|https://m.weibo.cn/status/4464540844264979
Hainan|19|0|Stable|http://www.bjnews.com.cn/news/2020/01/25/679383.html
Liaoning|16|0|12 serious|https://m.weibo.cn/status/4464687980896802
Tianjin|10|0|7 serious|https://m.weibo.cn/status/4464681848974090
Shaanxi|15|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/25/art_9_67412.html
Yunnan|11|0|1 serious|http://www.bjnews.com.cn/news/2020/01/25/679366.html
Heilongjiang|9|1||http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7699/navid/42/stypeid/
Guizhou|5|0|Stable|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448582&amp;idx=1&amp;sn=0e6ee35bbc50d59095131e03455c11fe
Jilin|4|0|1 serious|https://m.weibo.cn/status/4464541943826172
Xinjiang|3|0|Stable|http://www.xjhfpc.gov.cn/info/1495/17136.htm
Ningxia|3|0|1 serious|http://wsjkw.nx.gov.cn/info/1140/13226.htm
Hebei|8|1||http://www.hebwst.gov.cn/index.do?id=394917&amp;templet=content&amp;cid=14
Gansu|2|0||http://www.bjnews.com.cn/news/2020/01/23/678651.html
Shanxi|9|0||http://wjw.shanxi.gov.cn/wjywl02/24349.hrh
Inner Mongolia|2|0||http://wjw.nmg.gov.cn/doc/2020/01/25/285013.shtml
Qinghai|1|0||https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/25/1579942170563.html
Hong Kong|5|0||https://www.info.gov.hk/gia/general/202001/23/P2020012300914.htm
Taiwan|3|0||https://www.mohw.gov.tw/cp-4636-51207-1.html
Macau|2|0||http://www.xinhuanet.com/english/2020-01/23/c_138728730.htm
CHINA TOTAL|1,442|54||
Thailand|5|0||https://www.bangkokpost.com/thailand/general/1842939/fifth-coronavirus-case-in-thailand
Singapore|4|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|3|0||https://www.mhlw.go.jp/stf/newpage_09099.html
South Korea|2|0||https://en.yna.co.kr/view/AEN20200124001200320?section=news
United States|2|0||https://www.cdc.gov/media/releases/2020/p0124-second-travel-coronavirus.html
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|4|0||https://www.sbs.com.au/news/calm-urged-as-china-s-coronavirus-reaches-australia-with-4-confirmed-cases
INTERNATIONAL TOTAL|30|0||
