# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-02 15:41:53 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|9074|294|待明确地区：治愈 35|
Zhejiang|661|0||
Guangdong|604|0||
Henan|493|2|待明确地区：治愈 2|
Hunan|463|0||
Anhui|340|0||
Jiangxi|333|0||
Chongqing|262|1||
Jiangsu|236|0||
Sichuan|231|1||
Shandong|230|0|待明确地区：治愈 1；确诊 5|
Beijing|183|1|待明确地区：死亡 1，治愈 5|
Shanghai|182|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|159|0||
Shaanxi|116|0||
Guangxi|111|0||
Hebei|104|1||
Yunnan|99|0||
Heilongjiang|95|2||
Liaoning|64|0||
Hainan|63|1||
Shanxi|56|0||
Tianjin|48|0||
Gansu|40|0||
Guizhou|38|0||
Ningxia|28|0||
Inner Mongolia|27|0||
Jilin|23|0||
Xinjiang|21|0||
Hong Kong|14|0||
Qinghai|11|0|待明确地区：确诊 2|
Taiwan|10|0||
Macau|8|0||
Tibet|1|0||
CHINA TOTAL|14428|304||
