# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-03 09:56:32 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|67217|2834||
Guangdong|1350|7||
Shandong|758|6||
Sichuan|538|3||
Zhejiang|1213|1|丽水：确诊病例含8例境外输入病例；浙江：本省累计治愈1074，外省累计治愈12；杭州：本地累计治愈158，外省累计治愈12|
Hunan|1018|4||
Beijing|414|8|北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。|
Heilongjiang|480|13||
Chongqing|576|6||
Jiangsu|631|0||
Anhui|990|6||
Jiangxi|935|1||
Hong Kong|100|2||
Guangxi|252|2||
Shanghai|338|3|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Fujian|296|1||
Guizhou|146|2||
Taiwan|41|1||
Shaanxi|245|1|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Henan|1272|22||
Tianjin|136|3||
Liaoning|125|1||
Inner Mongolia|75|1||
Hebei|318|6||
Shanxi|133|0||
Hainan|168|5||
Jilin|93|1||
Xinjiang|76|3||
Ningxia|74|0||
Yunnan|174|2||
Gansu|91|2||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|80302|2947||
