# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-16 17:55:36 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|56249|1596||
Guangdong|1316|2||
Henan|1231|13|参考卫健委统计口径，部分县区与地级市合并|
Zhejiang|1167|0||
Anhui|962|6||
Jiangxi|925|1||
Hunan|1004|3||
Jiangsu|617|0||
Shandong|537|2||
Heilongjiang|445|11||
Chongqing|547|5||
Sichuan|481|3||
Beijing|380|4||
Fujian|287|0||
Hebei|300|3||
Guangxi|237|2||
Shanghai|328|1|待明确地区治愈16，治愈数据统一归属上海公卫临床中心，暂无具体分区|
Shaanxi|236|0||
Yunnan|171|0||
Hainan|162|4||
Guizhou|144|1||
Tianjin|124|3||
Liaoning|120|1||
Shanxi|128|0||
Inner Mongolia|70|0||
Jilin|89|1||
Xinjiang|71|1||
Hong Kong|57|1||
Gansu|90|2||
Ningxia|70|0||
Taiwan|18|0||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|68592|1666||
