# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-15 09:01:55 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|54406|1457||
Guangdong|1261|2||
Henan|1184|11|参考卫健委统计口径，部分县区与地级市合并|
Zhejiang|1155|0||
Anhui|934|6||
Jiangxi|900|1||
Hunan|1001|2||
Jiangsu|604|0||
Shandong|530|2||
Chongqing|537|5||
Heilongjiang|425|11||
Sichuan|470|1||
Beijing|372|3||
Shanghai|326|1|待明确地区治愈 28 例，治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|285|0||
Hebei|291|3||
Guangxi|235|2||
Shaanxi|230|0||
Yunnan|162|0||
Hainan|159|4||
Guizhou|140|1||
Liaoning|119|1||
Shanxi|127|0||
Tianjin|120|3||
Jilin|88|1||
Inner Mongolia|65|0||
Xinjiang|65|1||
Hong Kong|56|1||
Gansu|90|2||
Ningxia|67|0||
Taiwan|18|0||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|66451|1521||
