# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-24 00:35:45 CST
# place|confirmed_cases|deaths|notes|sources
Sichuan|8|0||
Zhejiang|27|0||
Guizhou|3|0||
Tianjin|4|0||
Inner Mongolia|0|0||
Hubei|444|17||
Shaanxi|3|0||
Henan|5|0||
Gansu|2|0||
Jiangsu|5|0||
Ningxia|1|0||
Heilongjiang|2|0||
Yunnan|2|0||
Taiwan|1|0||
Xinjiang|2|0||
Liaoning|3|0||
Hainan|5|0||
Hebei|1|1||
Anhui|9|0||
Beijing|22|0||
Hunan|9|0||
Shanghai|16|0||
Jilin|1|0||
Shandong|6|0||
Hong Kong|2|0||
Jiangxi|7|0||
Guangxi|5|0||
Chongqing|9|0||
Guangdong|32|0||
Macau|2|0||
Fujian|5|0||
Shanxi|1|0||
