# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-17 23:41:46 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|58182|1696||
Guangdong|1322|4||
Henan|1246|16|参考卫健委统计口径，部分县区与地级市合并|
Anhui|973|6||
Zhejiang|1171|0||
Jiangxi|930|1||
Hunan|1006|3||
Jiangsu|626|0||
Heilongjiang|457|11||
Shandong|541|2||
Chongqing|552|5||
Sichuan|495|3||
Beijing|381|4||
Fujian|290|0||
Guangxi|238|2||
Hebei|301|3||
Shanghai|332|1|待明确地区治愈21，治愈数据统一归属上海公卫临床中心，暂无具体分区|
Shaanxi|240|0||
Yunnan|171|0||
Hainan|163|4||
Guizhou|146|1||
Shanxi|129|0||
Liaoning|121|1||
Tianjin|125|3||
Inner Mongolia|72|0||
Xinjiang|75|1||
Hong Kong|58|1||
Jilin|89|1||
Ningxia|70|0||
Gansu|91|2||
Taiwan|22|1||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|70644|1772||
