# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-23 11:18:51 CST
# place|confirmed_cases|deaths|notes|sources
Jiangsu|1|0||
Hubei|444|17||
Hainan|4|0||
Beijing|14|0||
Hunan|4|0||
Shandong|6|0||
Liaoning|2|0||
Jilin|0|0||
Macau|2|0||
Yunnan|1|0||
Heilongjiang|1|0||
Taiwan|1|0||
Guangxi|5|0||
Guizhou|1|0||
Shanxi|1|0||
Shaanxi|0|0||
Chongqing|6|0||
Anhui|1|0||
Hong Kong|1|0||
Jiangxi|2|0||
Sichuan|8|0||
Tianjin|4|0||
Henan|5|0||
Fujian|1|0||
Hebei|1|0||
Zhejiang|10|0||
Guangdong|32|0||
Shanghai|16|0||
Ningxia|1|0||
