# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-08 07:33:35 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|22112|618||
Guangdong|1034|1||
Zhejiang|1006|0||
Henan|914|3|参考卫健委统计口径，部分县区与地级市合并|
Hunan|772|0||
Anhui|665|0||
Jiangxi|661|0||
Chongqing|426|2||
Jiangsu|408|0||
Shandong|386|0||
Sichuan|344|1||
Beijing|297|1||
Shanghai|277|1|新增治愈5，治愈数据统一归属上海公卫临床中心，暂无具体分区|
Heilongjiang|277|3||
Fujian|224|0||
Shaanxi|184|0||
Guangxi|172|0||
Hebei|172|1||
Yunnan|138|0||
Hainan|117|2||
Shanxi|104|0||
Liaoning|99|0||
Guizhou|81|1||
Tianjin|81|1||
Gansu|67|0||
Jilin|65|1||
Inner Mongolia|50|0||
Ningxia|43|0||
Xinjiang|39|0||
Hong Kong|25|1||
Qinghai|18|0||
Taiwan|16|0||
Macau|10|0||
Tibet|1|0||
CHINA TOTAL|31285|637||
