# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-24 12:37:03 CST
# place|confirmed_cases|deaths|notes|sources
Jiangxi|7|0||
Chongqing|27|0||
Heilongjiang|4|0|绥化死亡1例|
Shaanxi|3|0||
Hainan|8|0||
Guangxi|13|0||
Hong Kong|2|0||
Sichuan|15|0||
Shanghai|20|0||
Gansu|2|0||
Henan|9|0||
Taiwan|1|0||
Xinjiang|2|0||
Anhui|15|0||
Shandong|9|0||
Yunnan|2|0||
Hebei|2|1|沧州死亡1例|
Fujian|9|0||
Zhejiang|43|0|治愈1例|
Jiangsu|9|0||
Jilin|3|0||
Hubei|549|24|疑似数据待确认，死亡24例|
Ningxia|1|0||
Guangdong|53|0|治愈2例|
Inner Mongolia|1|0||
Macau|2|0||
Guizhou|3|0||
Beijing|26|0||
Hunan|24|0||
Tianjin|5|0||
Liaoning|4|0||
Shanxi|1|0||
