# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-22 18:48:58 CST
# place|confirmed_cases|deaths|notes|sources
Hunan|4|0||
Ningxia|0|0||
Jilin|0|0||
Yunnan|1|0||
Fujian|1|0||
Anhui|1|0||
Hainan|4|0||
Guangdong|26|0||
Heilongjiang|0|0||
Hong Kong|0|0||
Shanxi|1|0||
Sichuan|2|0||
Chongqing|5|0||
Macau|1|0||
Guizhou|1|0||
Taiwan|1|0||
Zhejiang|10|0||
Guangxi|0|0||
Henan|1|0||
Tianjin|4|0||
Liaoning|2|0||
Beijing|10|0||
Shanghai|9|0||
Jiangxi|2|0||
Hubei|375|9||
Shandong|1|0||
