# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-14 07:20:39 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|48206|1310||
Guangdong|1241|2||
Henan|1169|10|参考卫健委统计口径，部分县区与地级市合并|
Zhejiang|1145|0||
Anhui|910|5||
Jiangxi|872|1||
Hunan|968|2||
Jiangsu|570|0||
Shandong|509|2||
Chongqing|529|4||
Heilongjiang|395|9||
Sichuan|451|1||
Beijing|366|3||
Shanghai|315|1|待明确地区治愈4例，治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|279|0||
Hebei|265|3||
Guangxi|222|2||
Shaanxi|229|0||
Yunnan|156|0||
Hainan|157|4||
Guizhou|135|1||
Liaoning|117|1||
Tianjin|117|3||
Shanxi|126|0||
Jilin|84|1||
Xinjiang|63|1||
Inner Mongolia|61|0||
Hong Kong|53|1||
Gansu|90|2||
Ningxia|64|0||
Taiwan|18|0||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|59911|1369||
