# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-20 09:33:15 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|62031|2029||
Guangdong|1332|5||
Henan|1265|19|参考卫健委统计口径，部分县区与地级市合并|
Zhejiang|1175|0||
Anhui|987|6||
Jiangxi|934|1||
Hunan|1010|4||
Heilongjiang|476|12||
Sichuan|520|3||
Jiangsu|631|0||
Shandong|546|4||
Chongqing|560|5||
Beijing|393|4||
Fujian|293|1||
Guangxi|245|2||
Hebei|307|5||
Shanghai|333|2|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Shaanxi|242|0||
Yunnan|172|1||
Hainan|168|4||
Guizhou|146|2||
Tianjin|130|3||
Inner Mongolia|75|0||
Shanxi|131|0||
Liaoning|121|1||
Hong Kong|63|2||
Xinjiang|76|1||
Jilin|91|1||
Ningxia|71|0||
Gansu|91|2||
Taiwan|23|1||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|74667|2120||
