# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-25 07:48:40 CST
# place|confirmed_cases|deaths|notes|sources
Ningxia|2|0||
Liaoning|4|0||
Shanxi|1|0||
Xinjiang|2|0||
Macau|2|0||
Jilin|3|0||
Zhejiang|43|0||
Shaanxi|5|0||
Yunnan|5|0||
Shanghai|20|0||
Gansu|2|0||
Guizhou|3|0||
Jiangsu|9|0||
Guangdong|53|0||
Chongqing|27|0||
Beijing|36|0||
Hebei|2|1||
Qinghai|0|0|西宁新增疑似1例|
Shandong|15|0||
Taiwan|3|0||
Heilongjiang|4|1||
Hong Kong|2|0||
Hunan|24|0||
Hubei|729|39||
Anhui|15|0||
Tianjin|8|0||
Fujian|10|0|福建地区新增疑似2例（漳州1例；三明1例）|
Sichuan|15|0||
Hainan|8|0||
Inner Mongolia|2|0||
Jiangxi|18|0||
Henan|9|0||
Guangxi|23|0||
